cname,cvalue,ctype,cdesc,Deprecated
supervisor.localizer.cleanup.interval.ms,30000,CONSTANT_NUMERIC,,false
supervisor.localizer.update.blob.interval.secs,30,CONSTANT_NUMERIC,,false
nimbus.blobstore.class,org.apache.storm.blobstore.LocalFsBlobStore,STRING,,false
nimbus.blobstore.expiration.secs,600,CONSTANT_NUMERIC,,false
storm.blobstore.inputstream.buffer.size.bytes,65536,CONSTANT_NUMERIC,,false
storm.blobstore.dependency.jar.upload.chunk.size.bytes,1048576,CONSTANT_NUMERIC,,false
client.blobstore.class,org.apache.storm.blobstore.NimbusBlobStore,STRING,,false
storm.blobstore.replication.factor,3,CONSTANT_NUMERIC,,false
storm.blobstore.acl.validation.enabled,false,BOOLEAN,,false
supervisor.slots.ports,"[6700, 6701, 6702, 6703]",UNKOWN,,false
supervisor.childopts,-Xmx256m,UNKOWN,,false
supervisor.run.worker.as.user,false,BOOLEAN,,false
supervisor.worker.start.timeout.secs,120,CONSTANT_NUMERIC,,false
supervisor.worker.timeout.secs,30,CONSTANT_NUMERIC,,false
supervisor.worker.shutdown.sleep.secs,3,CONSTANT_NUMERIC,,false
supervisor.monitor.frequency.secs,3,CONSTANT_NUMERIC,,false
supervisor.heartbeat.frequency.secs,5,CONSTANT_NUMERIC,,false
supervisor.worker.heartbeats.max.timeout.secs,600,CONSTANT_NUMERIC,,false
worker.max.timeout.secs,600,CONSTANT_NUMERIC,,false
supervisor.enable,true,BOOLEAN,,false
supervisor.supervisors,[],UNKOWN,,false
supervisor.supervisors.commands,[],UNKOWN,,false
supervisor.memory.capacity.mb,4096.0,CONSTANT_NUMERIC,,false
supervisor.cpu.capacity,400.0,CONSTANT_NUMERIC,,false
supervisor.thrift.port,6628,CONSTANT_NUMERIC,,false
supervisor.queue.size,128,CONSTANT_NUMERIC,,false
supervisor.thrift.threads,16,CONSTANT_NUMERIC,,false
supervisor.thrift.max_buffer_size,1048576,CONSTANT_NUMERIC,,false
supervisor.thrift.socket.timeout.ms,5000,CONSTANT_NUMERIC,,false
worker.heap.memory.mb,768,CONSTANT_NUMERIC,,false
worker.childopts,-Xmx%HEAP-MEM%m -XX:+IgnoreUnrecognizedVMOptions -XX:+PrintGCDetails -Xloggc:artifacts/gc.log -XX:+PrintGCDateStamps -XX:+PrintGCTimeStamps -XX:+UseGCLogFileRotation -XX:NumberOfGCLogFiles=10 -XX:GCLogFileSize=1M -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=artifacts/heapdump,STRING,,false
worker.gc.childopts,,STRING,,false
worker.profiler.enabled,false,BOOLEAN,,false
worker.profiler.childopts,-XX:+UnlockCommercialFeatures -XX:+FlightRecorder,UNKOWN,,false
worker.profiler.command,flight.bash,STRING,,false
worker.heartbeat.frequency.secs,1,CONSTANT_NUMERIC,,false
worker.log.level.reset.poll.secs,30,CONSTANT_NUMERIC,,false
topology.worker.receiver.thread.count,1,CONSTANT_NUMERIC,,false
executor.metrics.frequency.secs,60,CONSTANT_NUMERIC,,false
task.heartbeat.frequency.secs,3,CONSTANT_NUMERIC,,false
task.refresh.poll.secs,10,CONSTANT_NUMERIC,,false
task.credentials.poll.secs,30,CONSTANT_NUMERIC,,false
storm.messaging.netty.server_worker_threads,1,CONSTANT_NUMERIC,,false
storm.messaging.netty.client_worker_threads,1,CONSTANT_NUMERIC,,false
storm.messaging.netty.buffer_size,5242880,CONSTANT_NUMERIC,,false
storm.messaging.netty.flush_timeout_ms,600000,CONSTANT_NUMERIC,,false
storm.messaging.netty.buffer.high.watermark,16777216,CONSTANT_NUMERIC,,false
storm.messaging.netty.buffer.low.watermark,8388608,CONSTANT_NUMERIC,,false
storm.messaging.netty.max_wait_ms,1000,CONSTANT_NUMERIC,,false
storm.messaging.netty.min_wait_ms,100,CONSTANT_NUMERIC,,false
storm.messaging.netty.transfer.batch.size,262144,CONSTANT_NUMERIC,,false
storm.messaging.netty.socket.backlog,500,CONSTANT_NUMERIC,,false
storm.messaging.netty.authentication,false,BOOLEAN,,false
storm.network.topography.plugin,org.apache.storm.networktopography.DefaultRackDNSToSwitchMapping,STRING,,false
storm.group.mapping.service.cache.duration.secs,120,CONSTANT_NUMERIC,,false
topology.enable.message.timeouts,true,BOOLEAN,,false
topology.debug,false,BOOLEAN,,false
topology.workers,1,CONSTANT_NUMERIC,,false
topology.acker.executors,,STRING,,false
topology.ras.acker.executors.per.worker,1,CONSTANT_NUMERIC,,false
topology.eventlogger.executors,0,CONSTANT_NUMERIC,,false
topology.tasks,,STRING,,false
topology.message.timeout.secs,30,CONSTANT_NUMERIC,,false
topology.multilang.serializer,org.apache.storm.multilang.JsonSerializer,STRING,,false
topology.shellbolt.max.pending,100,CONSTANT_NUMERIC,,false
topology.skip.missing.kryo.registrations,false,BOOLEAN,,false
topology.max.task.parallelism,,STRING,,false
topology.max.spout.pending,,STRING,,false
topology.state.synchronization.timeout.secs,60,CONSTANT_NUMERIC,,false
topology.stats.sample.rate,0.05,CONSTANT_NUMERIC,,false
topology.builtin.metrics.bucket.size.secs,60,CONSTANT_NUMERIC,,false
topology.fall.back.on.java.serialization,false,BOOLEAN,,false
topology.worker.childopts,,STRING,,false
topology.worker.logwriter.childopts,-Xmx64m,UNKOWN,,false
topology.tick.tuple.freq.secs,,STRING,,false
topology.worker.shared.thread.pool.size,4,CONSTANT_NUMERIC,,false
topology.spout.wait.strategy,org.apache.storm.policy.WaitStrategyProgressive,STRING,,false
topology.spout.wait.park.microsec,100,CONSTANT_NUMERIC,,false
topology.spout.wait.progressive.level1.count,0,CONSTANT_NUMERIC,,false
topology.spout.wait.progressive.level2.count,0,CONSTANT_NUMERIC,,false
topology.spout.wait.progressive.level3.sleep.millis,1,CONSTANT_NUMERIC,,false
topology.bolt.wait.strategy,org.apache.storm.policy.WaitStrategyProgressive,STRING,,false
topology.bolt.wait.park.microsec,100,CONSTANT_NUMERIC,,false
topology.bolt.wait.progressive.level1.count,1,CONSTANT_NUMERIC,,false
topology.bolt.wait.progressive.level2.count,1000,CONSTANT_NUMERIC,,false
topology.bolt.wait.progressive.level3.sleep.millis,1,CONSTANT_NUMERIC,,false
topology.backpressure.wait.strategy,org.apache.storm.policy.WaitStrategyProgressive,STRING,,false
topology.backpressure.wait.park.microsec,100,CONSTANT_NUMERIC,,false
topology.backpressure.wait.progressive.level1.count,1,CONSTANT_NUMERIC,,false
topology.backpressure.wait.progressive.level2.count,1000,CONSTANT_NUMERIC,,false
topology.backpressure.wait.progressive.level3.sleep.millis,1,CONSTANT_NUMERIC,,false
topology.backpressure.check.millis,50,CONSTANT_NUMERIC,,false
topology.executor.overflow.limit,0,CONSTANT_NUMERIC,,false
topology.error.throttle.interval.secs,10,CONSTANT_NUMERIC,,false
topology.max.error.report.per.interval,5,CONSTANT_NUMERIC,,false
topology.kryo.factory,org.apache.storm.serialization.DefaultKryoFactory,STRING,,false
topology.tuple.serializer,org.apache.storm.serialization.types.ListDelegateSerializer,STRING,,false
topology.trident.batch.emit.interval.millis,500,CONSTANT_NUMERIC,,false
topology.testing.always.try.serialize,false,BOOLEAN,,false
topology.classpath,,STRING,,false
topology.environment,,STRING,,false
topology.transfer.buffer.size,1000,CONSTANT_NUMERIC,,false
topology.transfer.batch.size,1,CONSTANT_NUMERIC,,false
topology.executor.receive.buffer.size,32768,CONSTANT_NUMERIC,,false
topology.producer.batch.size,1,CONSTANT_NUMERIC,,false
topology.batch.flush.interval.millis,1,CONSTANT_NUMERIC,,false
topology.spout.recvq.skips,3,CONSTANT_NUMERIC,,false
topology.disable.loadaware.messaging,false,BOOLEAN,,false
topology.state.checkpoint.interval.ms,1000,CONSTANT_NUMERIC,,false
topology.localityaware.higher.bound,0.8,CONSTANT_NUMERIC,,false
topology.localityaware.lower.bound,0.2,CONSTANT_NUMERIC,,false
topology.serialized.message.size.metrics,false,BOOLEAN,,false
topology.priority,29,CONSTANT_NUMERIC,,false
topology.component.resources.onheap.memory.mb,128.0,CONSTANT_NUMERIC,,false
topology.component.resources.offheap.memory.mb,0.0,CONSTANT_NUMERIC,,false
topology.component.cpu.pcore.percent,10.0,CONSTANT_NUMERIC,,false
topology.worker.max.heap.size.mb,768.0,CONSTANT_NUMERIC,,false
topology.scheduler.strategy,org.apache.storm.scheduler.resource.strategies.scheduling.DefaultResourceAwareStrategy,STRING,,false
resource.aware.scheduler.priority.strategy,org.apache.storm.scheduler.resource.strategies.priority.DefaultSchedulingPriorityStrategy,STRING,,false
topology.ras.constraint.max.state.search,10000,CONSTANT_NUMERIC,,false
resource.aware.scheduler.constraint.max.state.search,100000,CONSTANT_NUMERIC,,false
topology.ras.one.executor.per.worker,false,BOOLEAN,,false
topology.ras.one.component.per.worker,false,BOOLEAN,,false
blacklist.scheduler.tolerance.time.secs,300,CONSTANT_NUMERIC,,false
blacklist.scheduler.tolerance.count,3,CONSTANT_NUMERIC,,false
blacklist.scheduler.resume.time.secs,1800,CONSTANT_NUMERIC,,false
blacklist.scheduler.reporter,org.apache.storm.scheduler.blacklist.reporters.LogReporter,STRING,,false
blacklist.scheduler.strategy,org.apache.storm.scheduler.blacklist.strategies.DefaultBlacklistStrategy,STRING,,false
blacklist.scheduler.assume.supervisor.bad.based.on.bad.slot,true,BOOLEAN,,false
dev.zookeeper.path,/tmp/dev-storm-zookeeper,STRING,,false
pacemaker.servers,[],UNKOWN,,false
pacemaker.port,6699,CONSTANT_NUMERIC,,false
pacemaker.base.threads,10,CONSTANT_NUMERIC,,false
pacemaker.max.threads,50,CONSTANT_NUMERIC,,false
pacemaker.client.max.threads,2,CONSTANT_NUMERIC,,false
pacemaker.thread.timeout,10,CONSTANT_NUMERIC,,false
pacemaker.childopts,-Xmx1024m,UNKOWN,,false
pacemaker.auth.method,NONE,UNKOWN,,false
pacemaker.kerberos.users,[],UNKOWN,,false
pacemaker.thrift.message.size.max,10485760,CONSTANT_NUMERIC,,false
storm.daemon.metrics.reporter.plugins,[org.apache.storm.daemon.metrics.reporters.JmxPreparableReporter],STRING,,false
storm.daemon.metrics.reporter.interval.secs,10,CONSTANT_NUMERIC,,false
storm.metricstore.class,org.apache.storm.metricstore.rocksdb.RocksDbStore,STRING,,false
storm.metricprocessor.class,org.apache.storm.metricstore.NimbusMetricProcessor,STRING,,false
storm.metricstore.rocksdb.location,storm_rocks,UNKOWN,,false
storm.metricstore.rocksdb.create_if_missing,true,BOOLEAN,,false
storm.metricstore.rocksdb.metadata_string_cache_capacity,4000,CONSTANT_NUMERIC,,false
storm.metricstore.rocksdb.retention_hours,240,CONSTANT_NUMERIC,,false
storm.cluster.metrics.consumer.publish.interval.secs,60,CONSTANT_NUMERIC,,false
storm.resource.isolation.plugin,org.apache.storm.container.cgroup.CgroupManager,STRING,,false
storm.resource.isolation.plugin.enable,false,BOOLEAN,,false
storm.cgroup.memory.enforcement.enable,false,BOOLEAN,,false
storm.cgroup.inherit.cpuset.configs,false,BOOLEAN,,false
storm.cgroup.hierarchy.dir,/cgroup/storm_resources,STRING,,false
storm.cgroup.resources,"[cpu, memory]",UNKOWN,,false
storm.cgroup.hierarchy.name,storm,UNKOWN,,false
storm.supervisor.cgroup.rootdir,storm,UNKOWN,,false
storm.cgroup.cgexec.cmd,/bin/cgexec,STRING,,false
storm.cgroup.memory.limit.tolerance.margin.mb,0.0,CONSTANT_NUMERIC,,false
storm.supervisor.memory.limit.tolerance.margin.mb,128.0,CONSTANT_NUMERIC,,false
storm.supervisor.hard.memory.limit.multiplier,2.0,CONSTANT_NUMERIC,,false
storm.supervisor.hard.memory.limit.overage.mb,2024,CONSTANT_NUMERIC,,false
storm.supervisor.low.memory.threshold.mb,1024,CONSTANT_NUMERIC,,false
storm.supervisor.medium.memory.threshold.mb,1536,CONSTANT_NUMERIC,,false
storm.supervisor.medium.memory.grace.period.ms,30000,CONSTANT_NUMERIC,,false
storm.oci.cgroup.root,/sys/fs/cgroup,STRING,,false
storm.oci.cgroup.parent,/storm,STRING,,false
storm.oci.nscd.dir,/var/run/nscd,STRING,,false
storm.worker.min.cpu.pcore.percent,0.0,CONSTANT_NUMERIC,,false
storm.topology.classpath.beginning.enabled,false,BOOLEAN,,false
worker.metrics,"{CGroupMemory=org.apache.storm.metrics2.cgroup.CGroupMemoryUsage, CGroupMemoryLimit=org.apache.storm.metrics2.cgroup.CGroupMemoryLimit, CGroupCpu=org.apache.storm.metrics2.cgroup.CGroupCpu, CGroupCpuGuarantee=org.apache.storm.metrics2.cgroup.CGroupCpuGuarantee, CGroupCpuGuaranteeByCfsQuota=org.apache.storm.metrics2.cgroup.CGroupCpuGuaranteeByCfsQuota, CGroupCpuStat=org.apache.storm.metrics2.cgroup.CGroupCpuStat}",STRING,,false
num.stat.buckets,20,CONSTANT_NUMERIC,,false
