cname,cvalue,ctype,cdesc,Deprecated
alluxio.fuse.shared.caching.reader.enabled,(Experimental) Use share grpc data reader for better performance on multi-process file reading through Alluxio JNI Fuse. Blocks data will be cached on the client side so more memory is required for the Fuse process.,STRING,,false
alluxio.fuse.special.command.enabled,"If enabled, user can issue special FUSE commands by using 'ls -l /path/to/fuse_mount/.alluxiocli.&lt;command_name&gt;.&lt;subcommand_name&gt;', For example, when the Alluxio is mounted at local path /mnt/alluxio-fuse, 'ls -l /mnt/alluxio-fuse/.alluxiocli.metadatacache.dropAll' will drop all the user metadata cache. 'ls -l /mnt/alluxio-fuse/.alluxiocli.metadatacache.size' will get the metadata cache size??? the size value will be show in the output's filesize field. 'ls -l /mnt/alluxio-fuse/path/to/be/cleaned/.alluxiocli.metadatacache.drop' will drop the metadata cache of path '/mnt/alluxio-fuse/path/to/be/cleaned/'",STRING,,false
alluxio.fuse.stat.cache.refresh.interval,"The fuse filesystem statistics (e.g. Alluxio capacity information) will be refreshed after being cached for this time period. If the refresh time is too big, operations on the FUSE may fail because of the stale filesystem statistics. If it is too small, continuously fetching filesystem statistics create a large amount of master RPC calls and lower the overall performance of the Fuse application. A value small than or equal to zero means no statistics cache on the Fuse side.",STRING,,false
alluxio.fuse.umount.timeout,The timeout to wait for all in progress file read and write to finish before unmounting the Fuse filesystem when SIGTERM signal is received. A value smaller than or equal to zero means no umount wait time.,STRING,,false
alluxio.fuse.user.group.translation.enabled,"Whether to translate Alluxio users and groups into Unix users and groups when exposing Alluxio files through the FUSE API. When this property is set to false, the user and group for all FUSE files will match the user who started the alluxio-fuse process.Note that this applies to JNR-FUSE only.",STRING,,false
alluxio.fuse.web.bind.host,The hostname Alluxio FUSE web UI binds to.,STRING,,false
alluxio.fuse.web.enabled,Whether to enable FUSE web server.,STRING,,false
alluxio.fuse.web.hostname,The hostname of Alluxio FUSE web UI.,STRING,,false
alluxio.fuse.web.port,The port Alluxio FUSE web UI runs on.,STRING,,false
alluxio.grpc.reflection.enabled,"If true, grpc reflection will be enabled on alluxio grpc servers, including masters, workers, job masters and job workers.  This makes grpc tools such as grpcurl or grpcui can send grpc requests to the master server easier without knowing the protobufs. This is a debug option.",STRING,,false
alluxio.hadoop.kerberos.keytab.login.autorenewal,Kerberos authentication keytab login auto renew.,STRING,,false
alluxio.hadoop.security.authentication,HDFS authentication method.,STRING,,false
alluxio.hadoop.security.krb5.conf,Kerberos krb file for configuration of Kerberos.,STRING,,false
alluxio.home,Alluxio installation directory.,STRING,,false
alluxio.job.batch.size,The number of tasks would be included in a job request.,STRING,,false
alluxio.job.master.bind.host,The host that the Alluxio job master will bind to.,STRING,,false
alluxio.job.master.client.threads,The number of threads the Alluxio master uses to make requests to the job master.,STRING,,false
alluxio.job.master.embedded.journal.addresses,"A comma-separated list of journal addresses for all job masters in the cluster. The format is 'hostname1:port1,hostname2:port2,...'. Defaults to the journal addresses set for the Alluxio masters (alluxio.master.embedded.journal.addresses), but with the job master embedded journal port.",STRING,,false
alluxio.job.master.embedded.journal.port,The port job masters use for embedded journal communications.,STRING,,false
alluxio.job.master.finished.job.purge.count,The maximum amount of jobs to purge at any single time when the job master reaches its maximum capacity. It is recommended to set this value when setting the capacity of the job master to a large ( &gt; 10M) value. Default is -1 denoting an unlimited value,STRING,,false
alluxio.job.master.finished.job.retention.time,The length of time the Alluxio Job Master should save information about completed jobs before they are discarded.,STRING,,false
alluxio.job.master.hostname,The hostname of the Alluxio job master.,STRING,,false
alluxio.job.master.job.capacity,The total possible number of available job statuses in the job master. This value includes running and finished jobs which are have completed within alluxio.job.master.finished.job.retention.time.,STRING,,false
alluxio.job.master.lost.master.interval,The time interval the job master waits between checks for lost job masters.,STRING,,false
alluxio.job.master.lost.worker.interval,The time interval the job master waits between checks for lost workers.,STRING,,false
alluxio.job.master.master.heartbeat.interval,The amount of time that a standby Alluxio Job Master should wait in between heartbeats to the primary Job Master.,STRING,,false
alluxio.job.master.master.timeout,The time period after which the primary Job Master will mark a standby as lost without a subsequent heartbeat.,STRING,,false
alluxio.job.master.network.flowcontrol.window,The HTTP2 flow control window used by Alluxio job-master gRPC connections. Larger value will allow more data to be buffered but will use more memory.,STRING,,false
alluxio.job.master.network.keepalive.time,The amount of time for Alluxio job-master gRPC server to wait for a response before pinging the client to see if it is still alive.,STRING,,false
alluxio.job.master.network.keepalive.timeout,The maximum time for Alluxio job-master gRPC server to wait for a keepalive response before closing the connection.,STRING,,false
alluxio.job.master.network.max.inbound.message.size,The maximum size of a message that can be sent to the Alluxio master,UNKOWN,,false
alluxio.job.master.network.permit.keepalive.time,Specify the most aggressive keep-alive time clients are permitted to configure. The server will try to detect clients exceeding this rate and when detected will forcefully close the connection.,STRING,,false
alluxio.job.master.rpc.addresses,"A list of comma-separated host:port RPC addresses where the client should look for job masters when using multiple job masters without Zookeeper. This property is not used when Zookeeper is enabled, since Zookeeper already stores the job master addresses. If property is not defined, clients will look for job masters using [alluxio.master.rpc.addresses]:alluxio.job.master.rpc.port first, then for [alluxio.job.master.embedded.journal.addresses]:alluxio.job.master.rpc.port.",STRING,,false
alluxio.job.master.rpc.port,"The port for Alluxio job master's RPC service.",STRING,,false
alluxio.job.master.web.bind.host,The host that the job master web server binds to.,STRING,,false
alluxio.job.master.web.hostname,The hostname of the job master web server.,STRING,,false
alluxio.job.master.web.port,The port the job master web server uses.,STRING,,false
alluxio.job.master.worker.heartbeat.interval,The amount of time that the Alluxio job worker should wait in between heartbeats to the Job Master.,STRING,,false
alluxio.job.master.worker.timeout,The time period after which the job master will mark a worker as lost without a subsequent heartbeat.,STRING,,false
alluxio.job.request.batch.size,The batch size client uses to make requests to the job master.,STRING,,false
alluxio.job.retention.time,The length of time the Alluxio should save information about completed jobs before they are discarded.,STRING,,false
alluxio.job.worker.bind.host,The host that the Alluxio job worker will bind to.,STRING,,false
alluxio.job.worker.data.port,The port the Alluxio Job worker uses to send data.,STRING,,false
alluxio.job.worker.hostname,The hostname of the Alluxio job worker.,STRING,,false
alluxio.job.worker.rpc.port,"The port for Alluxio job worker's RPC service.",STRING,,false
alluxio.job.worker.threadpool.size,Number of threads in the thread pool for job worker. This may be adjusted to a lower value to alleviate resource saturation on the job worker nodes (CPU + IO).,STRING,,false
alluxio.job.worker.throttling,Whether the job worker should throttle itself based on whether the resources are saturated.,STRING,,false
alluxio.job.worker.web.bind.host,The host the job worker web server binds to.,STRING,,false
alluxio.job.worker.web.port,The port the Alluxio job worker web server uses.,STRING,,false
alluxio.jvm.monitor.info.threshold,"When the JVM pauses for anything longer than this, log an INFO message.",STRING,,false
alluxio.jvm.monitor.sleep.interval,The time for the JVM monitor thread to sleep.,STRING,,false
alluxio.jvm.monitor.warn.threshold,"When the JVM pauses for anything longer than this, log a WARN message.",STRING,,false
alluxio.leak.detector.exit.on.leak,"If set to true, the JVM will exit as soon as a leak is detected. Use only in testing environments.",STRING,,false
alluxio.leak.detector.level,"Set this to one of {DISABLED, SIMPLE, ADVANCED, PARANOID} to track resource leaks in the Alluxio codebase. DISABLED does not track any leaks. SIMPLE only samples resources, and doesn't track recent accesses, having a low overhead. ADVANCED is like simple, but tracks recent object accesses and has higher overhead. PARANOID tracks all objects and has the highest overhead. It is recommended to only use this value during testing.",STRING,,false
alluxio.locality.compare.node.ip,Whether try to resolve the node IP address for locality checking,UNKOWN,,false
alluxio.metrics.conf.file,The file path of the metrics system configuration file. By default it is `metrics.properties` in the `conf` directory.,STRING,,false
alluxio.metrics.executor.task.warn.frequency,"When instrumenting an executor withInstrumentedExecutorService, if the number of active tasks (queued or running) is greater than alluxio.metrics.executor.task.warn.size value, a warning log will be printed at the given interval",STRING,,false
alluxio.metrics.executor.task.warn.size,"When instrumenting an executor with InstrumentedExecutorService, if the number of active tasks (queued or running) is greater than this value, a warning log will be printed at the interval given by alluxio.metrics.executor.task.warn.frequency",STRING,,false
alluxio.network.connection.auth.timeout,Maximum time to wait for a connection (gRPC channel) to attempt to receive an authentication response.,STRING,,false
alluxio.network.connection.health.check.timeout,"Allowed duration for checking health of client connections (gRPC channels) before being assigned to a client. If a connection does not become active  within configured time, it will be shut down and a new connection will be created for the client",STRING,,false
alluxio.network.connection.server.shutdown.timeout,Maximum time to wait for gRPC server to stop on shutdown,UNKOWN,,false
alluxio.network.connection.shutdown.graceful.timeout,Maximum time to wait for connections (gRPC channels) to stop on shutdown,UNKOWN,,false
alluxio.network.connection.shutdown.timeout,Maximum time to wait for connections (gRPC channels) to stop after graceful shutdown attempt.,STRING,,false
alluxio.network.host.resolution.timeout,"During startup of the Master and Worker processes Alluxio needs to ensure that they are listening on externally resolvable and reachable host names. To do this, Alluxio will automatically attempt to select an appropriate host name if one was not explicitly specified. This represents the maximum amount of time spent waiting to determine if a candidate host name is resolvable over the network.",STRING,,false
alluxio.network.ip.address.used,"If true, when alluxio.&lt;service_name&gt;.hostname and alluxio.&lt;service_name&gt;.bind.host of a service not specified, use IP as the connect host of the service.",STRING,,false
alluxio.network.netty.heartbeat.timeout,The amount of time the server will wait before closing a netty connection if there has not been any incoming traffic. The client will periodically heartbeat when there is no activity on a connection. This value should be the same on the clients and server.,STRING,,false
alluxio.proxy.audit.logging.enabled,Set to true to enable proxy audit.,STRING,,false
alluxio.proxy.master.heartbeat.interval,Proxy instances maintain a heartbeat with the primary master. This key specifies the heartbeat interval.,STRING,,false
alluxio.proxy.s3.bucket.naming.restrictions.enabled,Toggles whether or not the Alluxio S3 API will enforce AWS S3 bucket naming restrictions. See https://docs.aws.amazon.com/AmazonS3/latest/userguide/bucketnamingrules.html.,STRING,,false
alluxio.proxy.s3.bucketpathcache.timeout,"Expire bucket path statistics in cache for this time period. Set 0min to disable the cache. If enabling the cache, be careful that Alluxio S3 API will behave differently from AWS S3 API if bucket path cache entries become stale.",STRING,,false
alluxio.proxy.s3.complete.multipart.upload.keepalive.enabled,"Whether or not to enabled sending whitespace characters as a keepalive message during CompleteMultipartUpload. Enabling this will cause any errors to be silently ignored. However, the errors will appear in the Proxy logs.",STRING,,false
alluxio.proxy.s3.complete.multipart.upload.keepalive.time.interval,"The complete multipart upload maximum keepalive time. The keepalive whitespace characters will be sent after 1 second, exponentially increasing in duration up to the configured value.",STRING,,false
alluxio.proxy.s3.complete.multipart.upload.min.part.size,The minimum required file size of parts for multipart uploads. Parts which are smaller than this limit aside from the final part will result in an EntityTooSmall error code. Set to 0 to disable size requirements.,STRING,,false
alluxio.proxy.s3.complete.multipart.upload.pool.size,The complete multipart upload thread pool size.,STRING,,false
alluxio.proxy.s3.deletetype,"Delete type when deleting buckets and objects through S3 API. Valid options are `ALLUXIO_AND_UFS` (delete both in Alluxio and UFS), `ALLUXIO_ONLY` (delete only the buckets or objects in Alluxio namespace).",STRING,,false
alluxio.proxy.s3.global.read.rate.limit.mb,Limit the maximum read speed for all connections. Set value less than or equal to 0 to disable rate limits.,STRING,,false
alluxio.proxy.s3.header.metadata.max.size,The maximum size to allow for user-defined metadata in S3 PUTrequest headers. Set to 0 to disable size limits.,STRING,,false
alluxio.proxy.s3.multipart.upload.cleaner.enabled,Enable automatic cleanup of long-running multipart uploads.,STRING,,false
alluxio.proxy.s3.multipart.upload.cleaner.pool.size,The abort multipart upload cleaner pool size.,STRING,,false
alluxio.proxy.s3.multipart.upload.cleaner.retry.count,The retry count when aborting a multipart upload fails.,STRING,,false
alluxio.proxy.s3.multipart.upload.cleaner.retry.delay,The retry delay time when aborting a multipart upload fails.,STRING,,false
alluxio.proxy.s3.multipart.upload.cleaner.timeout,The timeout for aborting proxy s3 multipart upload automatically.,STRING,,false
alluxio.proxy.s3.single.connection.read.rate.limit.mb,Limit the maximum read speed for each connection. Set value less than or equal to 0 to disable rate limits.,STRING,,false
alluxio.proxy.s3.tagging.restrictions.enabled,"Toggles whether or not the Alluxio S3 API will enforce AWS S3 tagging restrictions (10 tags, 128 character keys, 256 character values) See https://docs.aws.amazon.com/AmazonS3/latest/userguide/tagging-managing.html.",STRING,,false
alluxio.proxy.s3.v2.async.heavy.pool.core.thread.number,Core thread number for async heavy thread pool.,STRING,,false
alluxio.proxy.s3.v2.async.heavy.pool.maximum.thread.number,Maximum thread number for async heavy thread pool.,STRING,,false
alluxio.proxy.s3.v2.async.heavy.pool.queue.size,Queue size for async heavy thread pool.,STRING,,false
alluxio.proxy.s3.v2.async.light.pool.core.thread.number,Core thread number for async light thread pool.,STRING,,false
alluxio.proxy.s3.v2.async.light.pool.maximum.thread.number,Maximum thread number for async light thread pool.,STRING,,false
alluxio.proxy.s3.v2.async.light.pool.queue.size,Queue size for async light thread pool.,STRING,,false
alluxio.proxy.s3.v2.async.processing.enabled,"(Experimental) If enabled, handle S3 request in async mode when v2 version of Alluxio s3 proxy service is enabled.",STRING,,false
alluxio.proxy.s3.v2.version.enabled,"(Experimental) V2, an optimized version of Alluxio s3 proxy service.",STRING,,false
alluxio.proxy.s3.writetype,"Write type when creating buckets and objects through S3 API. Valid options are `MUST_CACHE` (write will only go to Alluxio and must be stored in Alluxio), `CACHE_THROUGH` (try to cache, write to UnderFS synchronously), `ASYNC_THROUGH` (try to cache, write to UnderFS asynchronously), `THROUGH` (no cache, write to UnderFS synchronously).",STRING,,false
alluxio.proxy.stream.cache.timeout,The timeout for the input and output streams cache eviction in the proxy.,STRING,,false
alluxio.proxy.web.bind.host,"The hostname that the Alluxio proxy's web server runs on.",STRING,,false
alluxio.proxy.web.hostname,"The hostname Alluxio proxy's web UI binds to.",STRING,,false
alluxio.proxy.web.port,"The port Alluxio proxy's web UI runs on.",STRING,,false
alluxio.s3.rest.authentication.enabled,Whether to enable check s3 rest request header.,STRING,,false
alluxio.s3.rest.authenticator.classname,"The class's name is instantiated as an S3 authenticator.",STRING,,false
alluxio.secondary.master.metastore.dir,The secondary master metastore work directory. Only some metastores need disk.,STRING,,false
alluxio.site.conf.dir,"Comma-separated search path for alluxio-site.properties. Note: overwriting this property will only work when it is passed as a JVM system property (e.g., appending &quot;-Dalluxio.site.conf.dir&quot;=&lt;NEW_VALUE&gt;&quot; to $ALLUXIO_JAVA_OPTS). Setting it in alluxio-site.properties will not work.",STRING,,false
alluxio.site.conf.rocks.block.file,Path of file containing RocksDB block store configuration. A template configuration cab be found at ${alluxio.conf.dir}/rocks-block.ini.template. See https://github.com/facebook/rocksdb/blob/main/examples/rocksdb_option_file_example.ini for more information on RocksDB configuration files. If unset then a default configuration will be used.,STRING,,false
alluxio.site.conf.rocks.inode.file,Path of file containing RocksDB inode store configuration. A template configuration cab be found at ${alluxio.conf.dir}/rocks-inode.ini.template. See https://github.com/facebook/rocksdb/blob/main/examples/rocksdb_option_file_example.ini for more information on RocksDB configuration files. If unset then a default configuration will be used.,STRING,,false
alluxio.standalone.fuse.jvm.monitor.enabled,Whether to enable start JVM monitor thread on the standalone fuse process. This will start a thread to detect JVM-wide pauses induced by GC or other reasons.,STRING,,false
alluxio.standby.master.metrics.sink.enabled,Whether a standby master runs the metric sink,UNKOWN,,false
alluxio.standby.master.web.enabled,Whether a standby master runs a web server,UNKOWN,,false
alluxio.table.catalog.path,The Alluxio file path for the table catalog metadata.,STRING,,false
alluxio.table.catalog.udb.sync.timeout,"The timeout period for a db sync to finish in the catalog. If a synctakes longer than this timeout, the sync will be terminated.",STRING,,false
alluxio.table.enabled,(Experimental) Enables the table service.,STRING,,false
alluxio.table.journal.partitions.chunk.size,The maximum table partitions number in a single journal entry.,STRING,,false
alluxio.table.load.default.replication,The default replication number of files under the SDS table after load option.,STRING,,false
alluxio.table.transform.manager.job.history.retention.time,The length of time the Alluxio Table Master should keep information about finished transformation jobs before they are discarded.,STRING,,false
alluxio.table.transform.manager.job.monitor.interval,"Job monitor is a heartbeat thread in the transform manager, this is the time interval in milliseconds the job monitor heartbeat is run to check the status of the transformation jobs and update table and partition locations after transformation.",STRING,,false
alluxio.table.udb.hive.clientpool.MAX,The maximum capacity of the hive client pool per hive metastore,UNKOWN,,false
alluxio.table.udb.hive.clientpool.min,The minimum capacity of the hive client pool per hive metastore,UNKOWN,,false
alluxio.test.deprecated.key,N/A,UNKOWN,,false
alluxio.tmp.dirs,"The path(s) to store Alluxio temporary files, use commas as delimiters. If multiple paths are specified, one will be selected at random per temporary file. Currently, only files to be uploaded to object stores are stored in these paths.",STRING,,false
alluxio.underfs.allow.set.owner.failure,"Whether to allow setting owner in UFS to fail. When set to true, it is possible file or directory owners diverge between Alluxio and UFS.",STRING,,false
alluxio.underfs.cephfs.auth.id,Ceph client id for authentication.,STRING,,false
alluxio.underfs.cephfs.auth.key,"CephX authentication key, base64 encoded.",STRING,,false
alluxio.underfs.cephfs.auth.keyfile,Path to CephX authentication key file.,STRING,,false
alluxio.underfs.cephfs.auth.keyring,Path to CephX authentication keyring file.,STRING,,false
alluxio.underfs.cephfs.conf.file,Path to Ceph configuration file.,STRING,,false
alluxio.underfs.cephfs.conf.options,Extra configuration options for CephFS client.,STRING,,false
alluxio.underfs.cephfs.localize.reads,Utilize Ceph localized reads feature.,STRING,,false
alluxio.underfs.cephfs.mds.namespace,CephFS filesystem to mount.,STRING,,false
alluxio.underfs.cephfs.mon.host,List of hosts or addresses to search for a Ceph monitor.,STRING,,false
alluxio.underfs.cephfs.mount.gid,The group ID of CephFS mount.,STRING,,false
alluxio.underfs.cephfs.mount.point,Directory to mount on the CephFS filesystem.,STRING,,false
alluxio.underfs.cephfs.mount.uid,The user ID of CephFS mount.,STRING,,false
alluxio.underfs.checksum.type,UFS checksum type.,STRING,,false
alluxio.underfs.cleanup.enabled,"Whether or not to clean up under file storage periodically.Some ufs operations may not be completed and cleaned up successfully in normal ways and leave some intermediate data that needs periodical cleanup.If enabled, all the mount points will be cleaned up when a leader master starts or cleanup interval is reached. This should be used sparingly.",STRING,,false
alluxio.underfs.cleanup.interval,The interval for periodically cleaning all the  mounted under file storages.,STRING,,false
alluxio.underfs.eventual.consistency.retry.base.sleep,"To handle eventually consistent storage semantics for certain under storages, Alluxio will perform retries when under storage metadata doesn't match Alluxio's expectations. These retries use exponential backoff. This property determines the base time for the exponential backoff.",STRING,,false
alluxio.underfs.eventual.consistency.retry.max.num,"To handle eventually consistent storage semantics for certain under storages, Alluxio will perform retries when under storage metadata doesn't match Alluxio's expectations. These retries use exponential backoff. This property determines the maximum number of retries. This property defaults to 0 as modern object store UFSs provide strong consistency.",STRING,,false
alluxio.underfs.eventual.consistency.retry.max.sleep,"To handle eventually consistent storage semantics for certain under storages, Alluxio will perform retries when under storage metadata doesn't match Alluxio's expectations. These retries use exponential backoff. This property determines the maximum wait time in the backoff.",STRING,,false
alluxio.underfs.gcs.default.mode,Mode (in octal notation) for GCS objects if mode cannot be discovered.,STRING,,false
alluxio.underfs.gcs.directory.suffix,Directories are represented in GCS as zero-byte objects named with the specified suffix.,STRING,,false
alluxio.underfs.gcs.owner.id.to.username.mapping,"Optionally, specify a preset gcs owner id to Alluxio username static mapping in the format &quot;id1=user1;id2=user2&quot;. The Google Cloud Storage IDs can be found at the console address https://console.cloud.google.com/storage/settings . Please use the &quot;Owners&quot; one. This property key is only valid when alluxio.underfs.gcs.version=1",STRING,,false
alluxio.underfs.gcs.retry.delay.multiplier,Delay multiplier while retrying requests on the ufs,UNKOWN,,false
alluxio.underfs.gcs.retry.initial.delay,Initial delay before attempting the retry on the ufs,UNKOWN,,false
alluxio.underfs.gcs.retry.jitter,Enable delay jitter while retrying requests on the ufs,UNKOWN,,false
alluxio.underfs.gcs.retry.max,Maximum Number of retries on the ufs,UNKOWN,,false
alluxio.underfs.gcs.retry.max.delay,Maximum delay before attempting the retry on the ufs,UNKOWN,,false
alluxio.underfs.gcs.retry.total.duration,Maximum retry duration on the ufs,UNKOWN,,false
alluxio.underfs.gcs.version,Specify the version of GCS module to use. GCS version &quot;1&quot; builds on top of jets3t package which requires fs.gcs.accessKeyId and fs.gcs.secretAccessKey. GCS version &quot;2&quot; build on top of Google cloud API which requires fs.gcs.credential.path,STRING,,false
alluxio.underfs.hdfs.configuration,"Location of the HDFS configuration file to overwrite the default HDFS client configuration. Note that, these files must be availableon every node.",STRING,,false
alluxio.underfs.hdfs.impl,The implementation class of the HDFS as the under storage system.,STRING,,false
alluxio.underfs.hdfs.prefixes,"Optionally, specify which prefixes should run through the HDFS implementation of UnderFileSystem. The delimiter is any whitespace and/or ','.",STRING,,false
alluxio.underfs.hdfs.remote,"Boolean indicating whether or not the under storage worker nodes are remote with respect to Alluxio worker nodes. If set to true, Alluxio will not attempt to discover locality information from the under storage because locality is impossible. This will improve performance. The default value is true.",STRING,,false
alluxio.underfs.io.threads,Number of threads used for UFS IO operation,UNKOWN,,false
alluxio.underfs.listing.length,"The maximum number of directory entries to list in a single query to under file system. If the total number of entries is greater than the specified length, multiple queries will be issued.",STRING,,false
alluxio.underfs.local.skip.broken.symlinks,"When set to true, any time the local underfs lists a broken symlink, it will treat the entry as if it didn't exist at all.",STRING,,false
alluxio.underfs.logging.threshold,Logging a UFS API call when it takes more time than the threshold.,STRING,,false
alluxio.underfs.object.store.breadcrumbs.enabled,Set this to false to prevent Alluxio from creating zero byte objects during read or list operations on object store UFS. Leaving this on enables more efficient listing of prefixes.,STRING,,false
alluxio.underfs.object.store.mount.shared.publicly,Whether or not to share object storage under storage system mounted point with all Alluxio users. Note that this configuration has no effect on HDFS nor local UFS.,STRING,,false
alluxio.underfs.object.store.multi.range.chunk.size,Default chunk size for ranged reads from multi-range object input streams.,STRING,,false
alluxio.underfs.object.store.service.threads,"The number of threads in executor pool for parallel object store UFS operations, such as directory renames and deletes.",STRING,,false
alluxio.underfs.object.store.skip.parent.directory.creation,Do not create parent directory for new files. Object stores generally uses prefix which is not required for creating new files. Skipping parent directory is recommended for better performance. Set this to false if the object store requires prefix creation for new files.,STRING,,false
alluxio.underfs.object.store.streaming.upload.part.timeout,Timeout for uploading part when using streaming uploads.,STRING,,false
alluxio.underfs.obs.intermediate.upload.clean.age,"Streaming uploads may not have been completed/aborted correctly and need periodical ufs cleanup. If ufs cleanup is enabled, intermediate multipart uploads in all non-readonly OBS mount points older than this age will be cleaned. This may impact other ongoing upload operations, so a large clean age is encouraged.",STRING,,false
alluxio.underfs.obs.streaming.upload.enabled,"(Experimental) If true, using streaming upload to write to OBS.",STRING,,false
alluxio.underfs.obs.streaming.upload.partition.size,"Maximum allowable size of a single buffer file when using S3A streaming upload. When the buffer file reaches the partition size, it will be uploaded and the upcoming data will write to other buffer files.If the partition size is too small, OBS upload speed might be affected.",STRING,,false
alluxio.underfs.obs.streaming.upload.threads,the number of threads to use for streaming upload data to OBS.,STRING,,false
alluxio.underfs.oss.connection.max,The maximum number of OSS connections.,STRING,,false
alluxio.underfs.oss.connection.timeout,The timeout when connecting to OSS.,STRING,,false
alluxio.underfs.oss.connection.ttl,The TTL of OSS connections in ms.,STRING,,false
alluxio.underfs.oss.ecs.ram.role,The RAM role of current owner of ECS.,STRING,,false
alluxio.underfs.oss.intermediate.upload.clean.age,"Streaming uploads may not have been completed/aborted correctly and need periodical ufs cleanup. If ufs cleanup is enabled, intermediate multipart uploads in all non-readonly OSS mount points older than this age will be cleaned. This may impact other ongoing upload operations, so a large clean age is encouraged.",STRING,,false
alluxio.underfs.oss.retry.max,The maximum number of OSS error retry.,STRING,,false
